Year,County Name,Population
2003,Kings,27955
2003,Kings,8610
2003,Kings,1460
2003,Kings,2627
2003,Kings,12198
2003,Kings,8679
2003,Kings,2212
2003,Kings,523
2003,Kings,784
2003,Kings,28454
2003,Kings,19276
2003,Kings,6398
2003,Kings,937
2003,Kings,1843
2003,New York,1564798
2003,New York,728961
2003,New York,237515
2003,New York,170065
2003,New York,428257
2003,New York,745267
2003,New York,351481
2003,New York,108827
2003,New York,79982
2003,New York,204977
2003,New York,819531
2003,New York,377480
2003,New York,128688
2003,New York,90083
2003,New York,223280
2003,New York,20343
2003,New York,7223
2003,New York,3504
2003,New York,2234
2003,New York,7382
2003,New York,10349
2003,New York,3676
2003,New York,1774
2003,New York,1170
2003,New York,3729
2003,New York,9994
2003,New York,3547
2003,New York,1730
2003,New York,1064
2003,New York,3653
2003,New York,142867
2003,New York,47446
2003,New York,26488
2003,New York,13825
2003,New York,55108
2003,New York,73048
2003,New York,24324
2003,New York,13588
2003,New York,7005
2003,New York,28131
2003,New York,69819
2003,New York,23122
2003,New York,12900
2003,New York,6820
2003,New York,26977
2003,New York,146289
2003,New York,39562
2003,New York,31698
2003,New York,14220
2003,New York,60809
2003,New York,73067
2003,New York,19324
2003,New York,15841
2003,New York,7266
2003,New York,30636
2003,New York,73222
2003,New York,20238
2003,New York,15857
2003,New York,6954
2003,New York,30173
2003,New York,92923
2003,New York,28777
2003,New York,16050
2003,New York,11804
2003,New York,36292
2003,New York,45018
2003,New York,13041
2003,New York,7506
2003,New York,5573
2003,New York,18898
2003,New York,47905
2003,New York,15736
2003,New York,8544
2003,New York,6231
2003,New York,17394
2003,New York,322470
2003,New York,171055
2003,New York,34285
2003,New York,43810
2003,New York,73320
2003,New York,153692
2003,New York,81361
2003,New York,15935
2003,New York,19530
2003,New York,36866
2003,New York,168778
2003,New York,89694
2003,New York,18350
2003,New York,24280
2003,New York,36454
2003,New York,277363
2003,New York,140147
2003,New York,39395
2003,New York,32286
2003,New York,65535
2003,New York,141238
2003,New York,74286
2003,New York,18913
2003,New York,15919
2003,New York,32120
2003,New York,136125
2003,New York,65861
2003,New York,20482
2003,New York,16367
2003,New York,33415
2003,New York,211475
2003,New York,105674
2003,New York,31720
2003,New York,21718
2003,New York,52363
2003,New York,101340
2003,New York,52496
2003,New York,14845
2003,New York,10363
2003,New York,23636
2003,New York,110135
2003,New York,53178
2003,New York,16875
2003,New York,11355
2003,New York,28727
2003,New York,156492
2003,New York,85470
2003,New York,22963
2003,New York,12614
2003,New York,35445
2003,New York,70185
2003,New York,39347
2003,New York,9585
2003,New York,5736
2003,New York,15517
2003,New York,86307
2003,New York,46123
2003,New York,13378
2003,New York,6878
2003,New York,19928
2003,New York,100344
2003,New York,50771
2003,New York,15910
2003,New York,9707
2003,New York,23956
2003,New York,44131
2003,New York,24078
2003,New York,6154
2003,New York,4284
2003,New York,9615
2003,New York,56213
2003,New York,26693
2003,New York,9756
2003,New York,5423
2003,New York,14341
2003,New York,65978
2003,New York,35784
2003,New York,10898
2003,New York,5794
2003,New York,13502
2003,New York,25269
2003,New York,14619
2003,New York,3595
2003,New York,2440
2003,New York,4615
2003,New York,40709
2003,New York,21165
2003,New York,7303
2003,New York,3354
2003,New York,8887
2003,New York,28254
2003,New York,17052
2003,New York,4604
2003,New York,2053
2003,New York,4545
2003,New York,7930
2003,New York,4929
2003,New York,1091
2003,New York,696
2003,New York,1214
2003,New York,20324
2003,New York,12123
2003,New York,3513
2003,New York,1357
2003,New York,3331
2003,Queens,2225486
2003,Queens,710467
2003,Queens,450119
2003,Queens,481353
2003,Queens,583547
2003,Queens,1074998
2003,Queens,339746
2003,Queens,202369
2003,Queens,241428
2003,Queens,291455
2003,Queens,1150488
2003,Queens,370721
2003,Queens,247750
2003,Queens,239925
2003,Queens,292092
2003,Queens,30535
2003,Queens,6932
2003,Queens,6676
2003,Queens,6752
2003,Queens,10175
2003,Queens,15804
2003,Queens,3556
2003,Queens,3430
2003,Queens,3510
2003,Queens,5308
2003,Queens,14731
2003,Queens,3376
2003,Queens,3246
2003,Queens,3242
2003,Queens,4867
2003,Queens,248469
2003,Queens,57620
2003,Queens,55798
2003,Queens,54924
2003,Queens,80127
2003,Queens,127257
2003,Queens,29604
2003,Queens,28282
2003,Queens,28180
2003,Queens,41191
2003,Queens,121212
2003,Queens,28016
2003,Queens,27516
2003,Queens,26744
2003,Queens,38936
2003,Queens,262917
2003,Queens,60574
2003,Queens,67067
2003,Queens,55994
