Delaware,2015,32,28,64,144
Dutchess,2015,182,160,450,913
Erie,2015,869,364,3386,1976
Essex,2015,36,19,46,133
Franklin,2015,56,40,48,193
Fulton,2015,42,41,60,186
Genesee,2015,45,41,114,209
Greene,2015,76,44,142,313
Hamilton,2015,2,2,3,19
Herkimer,2015,39,43,76,190
Jefferson,2015,110,45,117,342
Kings,2015,3936,236,10520,1556
Lewis,2015,24,14,17,51
Livingston,2015,60,52,158,225
Madison,2015,45,37,79,171
Monroe,2015,530,430,769,1893
Montgomery,2015,56,28,70,124
Nassau,2015,811,291,2794,2095
New York,2015,3924,103,11103,1528
Niagara,2015,220,107,352,607
Oneida,2015,264,85,463,509
Onondaga,2015,557,172,1149,956
Ontario,2015,74,81,108,359
Orange,2015,502,234,1319,1112
Orleans,2015,40,20,45,99
Oswego,2015,157,55,195,371
Otsego,2015,55,37,89,205
Putnam,2015,66,42,177,341
Queens,2015,2211,268,5795,1952
Rensselaer,2015,147,68,248,452
Richmond,2015,709,76,1508,546
Rockland,2015,150,99,373,708
Saratoga,2015,125,119,303,713
Schenectady,2015,293,50,284,273
Schoharie,2015,8,15,18,126
Schuyler,2015,21,16,18,55
Seneca,2015,29,40,40,123
Steuben,2015,119,75,181,312
St. Lawrence,2015,160,43,196,325
Suffolk,2015,775,564,4308,3185
Sullivan,2015,82,43,264,292
Tioga,2015,35,25,70,103
Tompkins,2015,60,46,107,260
Ulster,2015,190,132,494,772
Unknown-NonNYS,2015,12,0,3,6
Warren,2015,69,55,122,258
Washington,2015,55,40,127,212
Wayne,2015,68,67,82,230
Westchester,2015,752,220,1783,1465
Wyoming,2015,42,27,46,113
Yates,2015,19,19,21,62
Albany,2014,569,141,854,953
Allegany,2014,47,20,49,158
Bronx,2014,5140,185,14486,1320
Broome,2014,211,88,538,458
Cattaraugus,2014,106,66,131,220
Cayuga,2014,82,26,125,217
Chautauqua,2014,202,78,231,526
Chemung,2014,103,67,232,301
Chenango,2014,48,19,85,100
Clinton,2014,139,44,142,269
Columbia,2014,42,44,163,215
Cortland,2014,95,34,106,178
Delaware,2014,53,27,65,130
Dutchess,2014,201,173,554,939
Erie,2014,970,428,3695,2298
Essex,2014,60,24,45,110
Franklin,2014,116,31,83,198
Fulton,2014,26,43,64,189
Genesee,2014,32,45,68,200
Greene,2014,89,37,148,228
Hamilton,2014,0,2,6,24
Herkimer,2014,29,34,68,188
Jefferson,2014,113,51,105,424
Kings,2014,4405,236,15029,2143
Lewis,2014,30,11,18,65
Livingston,2014,66,58,121,183
Madison,2014,45,38,66,182
Monroe,2014,465,406,809,1928
